Island,Site,Transect,FG.how,FG.what,biomass_kg_ha,productivity_kg_ha_day
Fregate,Low,2,Sediment sucker,Detritus and sediment,37.1,0.011401375
Fregate,Low,3,Browser,Macroalgae,142.8,0.201947542
Fregate,Low,3,Brusher,Detritus and sediment,18.2,0.006772877
Fregate,Low,3,Concealed cropper,Turf algae,5.2,0.00861132
Fregate,Low,3,Cropper,Turf algae,53.7,0.093042657
Fregate,Low,3,Excavator,Microscopic cyanobacteria,93.9,0.047045916
Fregate,Low,3,Farmer,Turf algae (within defended territories),0,0
Fregate,Low,3,Scraper,Microscopic cyanobacteria,65.7,0.019665061
Fregate,Low,3,Sediment sucker,Detritus and sediment,0,0
Fregate,Low,4,Browser,Macroalgae,0,0
Fregate,Low,4,Brusher,Detritus and sediment,49.1,0.015889232
Fregate,Low,4,Concealed cropper,Turf algae,25.6,0.048596667
Fregate,Low,4,Cropper,Turf algae,26.3,0.042774945
Fregate,Low,4,Excavator,Microscopic cyanobacteria,94.6,0.089642567
Fregate,Low,4,Farmer,Turf algae (within defended territories),14.4,0.010507493
Fregate,Low,4,Scraper,Microscopic cyanobacteria,68.3,0.03671775
Fregate,Low,4,Sediment sucker,Detritus and sediment,0,0
